Date,Trainer,Venue,Points,Open Odds,Race1,Race2,Race3,Race4,Race5,Race6,Race7,Race8,Race9
20/11/2022,C S Shum,ST,36.0,2.75,3.25,-,-,-,-,-,-,-,-
16/11/2022,F C Lor,HV,28.0,5.50,4.50,-,-,-,-,-,-,-,-
16/11/2022,C Fownes,HV,28.0,14.0,22,-,-,-,-,-,-,-,-
12/11/2022,C S Shum,ST,30.0,25,35,-,-,-,-,-,-,-,-
09/11/2022,K W Lui,HV,34.0,5.50,3.25,-,-,-,-,-,-,-,-
06/11/2022,W Y So,ST,36.0,45,45,-,-,-,-,-,-,-,-
30/10/2022,J Size,HV,28.0,4.25,5.50,-,-,-,-,-,-,-,-
26/10/2022,P C Ng,ST,30.0,13.0,14.0,-,-,-,-,-,-,-,-
23/10/2022,J Size,ST,28.0,7.50,7.00,-,-,-,-,-,-,-,-
19/10/2022,K W Lui,HV,30.0,5.00,3.75,-,-,-,-,-,-,-,
16/10/2022,J Size,ST,24.0,2.65,2.25,-,-,-,-,-,-,-,-
12/10/2022,C Fownes,HV,32.0,4.00,2.75,-,-,-,-,-,-,-,-
09/10/2022,T P Yung,ST,36.0,3.50,2.70,-,-,-,-,-,-,-,-
05/10/2022,C Fownes,HV,28.0,5.00,4.50,-,-,-,-,-,-,-,-
01/10/2022,F C Lor,ST,40.0,1.95,1.80,-,-,-,-,-,-,-,-
28/09/2022,C Fownes,HV,30.0,4.75,4.50,-,-,-,-,-,-,-,
25/09/2022,J Size,ST,28.0,22,18.0,-,-,-,-,-,-,-,-
21/09/2022,A S Cruz,HV,28.0,9.00,13.0,-,-,-,-,-,-,-,
18/09/2022,P F Yiu,ST,28.0,4.50,4.50,-,-,-,-,-,-,-,-
14/09/2022,C Fownes,HV,24.0,4.75,3.00,-,-,-,-,-,-,-,
11/09/2022,C S Shum,ST,28.0,5.00,4.25,-,-,-,-,-,-,-,-
